,Country,time ,Armed forces occupations_Female,Armed forces occupations_Male,Managers_Female,Managers_Male,Professionals_Female,Professionals_Male,Technicians and associate professionals_Female,Technicians and associate professionals_Male,Clerical support workers_Female,Clerical support workers_Male,Service and sales workers_Female,Service and sales workers_Male,"Skilled agricultural, forestry and fishery workers_Female","Skilled agricultural, forestry and fishery workers_Male",Craft and related trades workers_Female,Craft and related trades workers_Male,"Plant and machine operators, and assemblers_Female","Plant and machine operators, and assemblers_Male",Elementary_Female,Elementary_Male
217,El Salvador,2018,1.35,1.29,4.5,3.99,4.25,4.0,2.73,2.77,2.24,2.2,1.45,1.57,4.49,1.56,1.27,1.77,1.7,1.89,1.28,1.44
219,El Salvador,2020,0.0,0.89,0.28,0.23,0.29,0.24,0.2,0.27,0.2,0.15,0.36,0.27,1.0,0.17,0.36,0.16,0.16,0.19,0.44,0.25
222,El Salvador,2023,2.97,2.35,9.18,6.66,6.8,6.77,5.74,10.46,5.8,6.96,13.13,7.87,7.22,12.73,15.94,13.12,5.17,13.73,12.24,16.26
229,Ethiopia,2021,17.72,17.56,46.6,45.43,46.96,53.67,27.23,41.16,22.56,27.47,8.41,13.57,18.74,20.65,11.42,23.59,11.97,23.03,10.65,13.72
231,Finland,2013,21.02,24.78,32.67,39.74,23.67,28.36,18.46,22.32,15.9,16.01,14.17,15.56,13.9,14.2,15.24,17.85,15.55,18.32,12.05,14.64
232,Finland,2014,23.41,26.12,32.69,40.23,23.96,28.58,18.48,22.37,16.1,16.39,14.3,15.65,14.0,14.32,15.53,17.81,15.86,18.39,12.23,14.62
233,Finland,2016,22.31,27.03,33.74,40.99,24.17,28.79,18.6,22.53,16.24,16.51,14.43,15.78,13.74,14.26,15.27,17.46,15.63,18.23,12.19,14.71
234,Finland,2017,23.2,26.97,34.54,41.74,24.43,28.91,18.66,22.81,16.23,16.72,14.47,15.75,12.45,13.21,15.59,17.73,15.77,18.49,12.37,14.85
235,Finland,2020,23.75,27.72,35.34,43.54,25.09,29.2,18.93,23.27,16.74,17.6,15.11,16.56,14.0,14.31,15.59,17.93,15.82,18.24,12.78,14.84
236,Finland,2021,24.25,28.48,38.86,50.12,25.82,30.08,19.42,23.58,17.16,18.04,15.34,16.69,14.35,14.72,15.84,18.41,16.02,18.63,12.87,15.01
